symbol,year,month,change,mspr
BAC,2021,4,15019,61.626522
BAC,2021,3,729620,34.006676
BAC,2021,2,496552,24.90663
BAC,2021,1,0,0.0
BAC,2020,12,0,0.0
BAC,2020,11,-21000,-36.673534
BAC,2020,10,-50000,-57.961605
BAC,2020,9,0,0.0
BAC,2020,8,6436281,99.43973
BAC,2020,7,78655725,99.95392
BAC,2020,6,0,0.0
BAC,2020,5,0,0.0
BAC,2020,4,27522,43.1474
BAC,2019,12,-15000,-25.564116
BAC,2019,11,0,0.0
BAC,2019,10,-2340077,-98.16776
BAC,2019,3,475411,33.728214
BAC,2019,2,230024,32.159405
BAC,2019,1,0,0.0
BAC,2018,12,0,0.0
BAC,2018,11,-638,-1.8134273
BAC,2018,10,0,0.0
BAC,2018,9,0,0.0
BAC,2018,8,9144,0.2161788
BAC,2018,7,0,0.0
BAC,2018,6,-30000,-46.47992
BAC,2018,5,0,0.0
BAC,2018,4,19906,36.55831
BAC,2018,3,0,0.0
BAC,2018,2,188100,33.900932
BAC,2018,1,0,0.0
BAC,2017,9,0,0.0
BAC,2017,8,-86763,-68.59766
BAC,2017,7,0,0.0
BAC,2017,3,21894,1.589999
BAC,2017,2,265846,25.850246
BAC,2017,1,0,0.0
BAC,2016,12,-40000,-41.008816
BAC,2016,11,25000,30.288345
BAC,2016,10,0,0.0
BAC,2016,9,100000000,100.0
BAC,2016,8,798403194,100.0
BAC,2016,3,327644,18.158138
BAC,2016,2,238733,41.79741
BAC,2016,1,0,0.0
BAC,2015,6,8324,18.99676
BAC,2015,5,56078,59.144028
BAC,2015,4,-1734,-4.6577845
BAC,2015,3,611753,33.060528
BAC,2015,2,586678,18.210222
BAC,2015,1,0,0.0
BAC,2014,12,0,0.0
BAC,2014,11,0,0.0
BAC,2014,10,4948,11.6401615
